Date,TGMV
2023-06-06,89437146.29
2023-06-07,73103004.37
2023-06-08,55190380.8
2023-06-09,49246152.37
2023-06-10,44990495.88
2023-06-11,49150246.38
2023-06-12,58753202.73
2023-06-13,62138497.28
2023-06-14,64464681.05
2023-06-15,65647665.95
2023-06-16,60702835.44
2023-06-17,49213722.43
2023-06-18,44736116.74
2023-06-19,48780910.68
2023-06-20,49412569.67
2023-06-21,49239164.09
2023-06-22,47817295.14
2023-06-23,42826148.93
2023-06-24,38181084.14
2023-06-25,40281219.37
2023-06-26,48772956.66
2023-06-27,49738836.0
2023-06-28,49386964.68
2023-06-29,48898977.76
2023-06-30,47634512.87
2023-07-01,46184263.5
2023-07-02,48864383.38
2023-07-03,57691291.4
2023-07-04,58416421.73
2023-07-05,59111780.42
2023-07-06,58047173.64
2023-07-07,53384735.22
2023-07-08,47712716.36
2023-07-09,51398548.94
2023-07-10,61270214.92
2023-07-11,62885460.99
2023-07-12,62906846.32
2023-07-13,60843206.15
2023-07-14,59412947.91
2023-07-15,56682718.32
2023-07-16,58637743.63
2023-07-17,60560499.76
2023-07-18,58458884.69
2023-07-19,57313362.31
2023-07-20,53139897.98
2023-07-21,50343196.69
2023-07-22,44984458.8
2023-07-23,48844782.25
2023-07-24,56196035.13
2023-07-25,56045939.4
2023-07-26,53903483.31
2023-07-27,54076992.0
2023-07-28,52506557.73
2023-07-29,46025864.04
2023-07-30,48879685.37
2023-07-31,58546551.03
2023-08-01,62264413.66
2023-08-02,62027189.57
2023-08-03,58014682.61
2023-08-04,53308370.64
2023-08-05,47590961.41
2023-08-06,53337061.36
2023-08-07,62483652.04
2023-08-08,60141288.85
2023-08-09,56906407.85
2023-08-10,59360731.5
2023-08-11,54382011.39
2023-08-12,48850072.13
2023-08-13,50978858.19
2023-08-14,62199842.36
2023-08-15,68977909.16
2023-08-16,69941862.99
2023-08-17,65587056.7
2023-08-18,60619702.11
2023-08-19,53223551.21
2023-08-20,56439972.76
2023-08-21,66962362.1
2023-08-22,68108909.12
2023-08-23,69062817.22
2023-08-24,63933077.41
2023-08-25,57888321.16
2023-08-26,51946488.05
2023-08-27,51123781.97
2023-08-28,53610054.86
2023-08-29,52542399.04
2023-08-30,52448796.6
2023-08-31,52428811.18
2023-09-01,50492952.92
2023-09-02,47249713.56
2023-09-03,48441998.39
2023-09-04,52526734.54
2023-09-05,54984070.03
2023-09-06,54960835.99
2023-09-07,52266391.51
2023-09-08,49001236.86
2023-09-09,45689521.91
2023-09-10,48528617.3
2023-09-11,52628799.25
2023-09-12,52266651.85
2023-09-13,50157506.23
2023-09-14,45022854.38
2023-09-15,40483541.2
2023-09-16,38522435.53
2023-09-17,44919238.44
2023-09-18,49480488.92
2023-09-19,49878004.65
2023-09-20,47726020.03
2023-09-21,45019351.42
2023-09-22,44366295.46
2023-09-23,39037480.65
2023-09-24,40054610.67
2023-09-25,45589196.93
2023-09-26,46900972.35
2023-09-27,45971458.79
2023-09-28,46491917.19
2023-09-29,44088929.65
2023-09-30,42355430.17
2023-10-01,45559256.95
2023-10-02,51055434.29
2023-10-03,52138645.65
2023-10-04,50833749.42
2023-10-05,49056042.74
2023-10-06,47712385.1
2023-10-07,43544060.87
2023-10-08,47943826.85
2023-10-09,53578568.44
2023-10-10,55191386.31
2023-10-11,54939191.73
2023-10-12,52341722.89
2023-10-13,50143561.83
2023-10-14,46448376.83
2023-10-15,50708913.77
2023-10-16,60086971.92
2023-10-17,60504027.01
2023-10-18,57116797.48
2023-10-19,51729453.26
2023-10-20,46250403.52
2023-10-21,43340992.1
2023-10-22,46671612.47
2023-10-23,55452171.55
2023-10-24,53703542.82
2023-10-25,51333294.18
2023-10-26,47636022.7
2023-10-27,44039305.23
2023-10-28,39211343.1
2023-10-29,40672122.92
2023-10-30,49589640.23
2023-10-31,46104402.92
2023-11-01,48210373.89
2023-11-02,50742063.24
2023-11-03,48889664.43
2023-11-04,44687114.18
2023-11-05,48396220.24
2023-11-06,56345527.88
2023-11-07,58201703.09
2023-11-08,56386109.74
2023-11-09,54804207.06
2023-11-10,51126262.73
2023-11-11,49453993.19
2023-11-12,55155811.36
2023-11-13,65430020.46
2023-11-14,68000457.92
2023-11-15,71495007.64
2023-11-16,88179050.36
2023-11-17,142407706.3
2023-11-18,120964995.9
2023-11-19,121597413.8
2023-11-20,150249085.9
2023-11-21,88876759.2
2023-11-22,66795741.24
2023-11-23,66109797.76
2023-11-24,78336356.9
2023-11-25,72148494.76
2023-11-26,75210790.86
2023-11-27,88640734.46
2023-11-28,74810323.67
2023-11-29,73439842.21
2023-11-30,72281019.64
2023-12-01,75952706.99
2023-12-02,67475551.72
2023-12-03,74374796.15
2023-12-04,90526036.82
2023-12-05,90094468.29
2023-12-06,95579782.83
2023-12-07,96853235.02
2023-12-08,91468795.56
2023-12-09,84907526.11
