Date,TGMV,plan
2023-05-19,47783404.07,47783404.07
2023-05-20,47092000.24,47092000.24
2023-05-21,46035620.02,46035620.02
2023-05-22,55814437.87,55814437.87
2023-05-23,61837009.07,61837009.07
2023-05-24,57580559.28,57580559.28
2023-05-25,52258756.17,52258756.17
2023-05-26,51670552.03,51670552.03
2023-05-27,45144717.46,45144717.46
2023-05-28,45198012.83,45198012.83
2023-05-29,88723867.33,88723867.33
2023-05-30,91731482.76,91731482.76
2023-05-31,87406161.21,87406161.21
2023-06-01,89054185.09,89054185.09
2023-06-02,78762567.05,78762567.05
2023-06-03,66653782.14,66653782.14
2023-06-04,65862600.32,65862600.32
2023-06-05,72419090.1,72419090.1
2023-06-06,89437146.29,89437146.29
2023-06-07,73103004.37,73103004.37
2023-06-08,55190380.8,55190380.8
2023-06-09,49246152.37,49246152.37
2023-06-10,44990495.88,44990495.88
2023-06-11,49150246.38,49150246.38
2023-06-12,58753202.73,58753202.73
2023-06-13,62138497.28,62138497.28
2023-06-14,64464681.05,64464681.05
2023-06-15,65647665.95,65647665.95
2023-06-16,60702835.44,60702835.44
2023-06-17,49213722.43,49213722.43
2023-06-18,44736116.74,44736116.74
2023-06-19,48780910.68,48780910.68
2023-06-20,49412569.67,49412569.67
2023-06-21,49239164.09,49239164.09
2023-06-22,47817295.14,47817295.14
2023-06-23,42826148.93,42826148.93
2023-06-24,38181084.14,38181084.14
2023-06-25,40281219.37,40281219.37
2023-06-26,48772956.66,48772956.66
2023-06-27,49738836.0,49738836.0
2023-06-28,49386964.68,49386964.68
2023-06-29,48898977.76,48898977.76
2023-06-30,47634512.87,47634512.87
2023-07-01,46184263.5,46184263.5
2023-07-02,48864383.38,48864383.38
2023-07-03,57691291.4,57691291.4
2023-07-04,58416421.73,58416421.73
2023-07-05,59111780.42,59111780.42
2023-07-06,58047173.64,58047173.64
2023-07-07,53384735.22,53384735.22
2023-07-08,47712716.36,47712716.36
2023-07-09,51398548.94,51398548.94
2023-07-10,61270214.92,61270214.92
2023-07-11,62885460.99,62885460.99
2023-07-12,62906846.32,62906846.32
2023-07-13,60843206.15,60843206.15
2023-07-14,59412947.91,59412947.91
2023-07-15,56682718.32,56682718.32
2023-07-16,58637743.63,58637743.63
2023-07-17,60560499.76,60560499.76
2023-07-18,58458884.69,58458884.69
2023-07-19,57313362.31,57313362.31
2023-07-20,53139897.98,53139897.98
2023-07-21,50343196.69,50343196.69
2023-07-22,44984458.8,44984458.8
2023-07-23,48844782.25,48844782.25
2023-07-24,56196035.13,56196035.13
2023-07-25,56045939.4,56045939.4
2023-07-26,53903483.31,53903483.31
2023-07-27,54076992.0,54076992.0
2023-07-28,52506557.73,52506557.73
2023-07-29,46025864.04,46025864.04
2023-07-30,48879685.37,48879685.37
2023-07-31,58546551.03,58546551.03
2023-08-01,62264413.66,62264413.66
2023-08-02,62027189.57,62027189.57
2023-08-03,58014682.61,58014682.61
2023-08-04,53308370.64,53308370.64
2023-08-05,47590961.41,47590961.41
2023-08-06,53337061.36,53337061.36
2023-08-07,62483652.04,62483652.04
2023-08-08,60141288.85,60141288.85
2023-08-09,56906407.85,56906407.85
2023-08-10,59360731.5,59360731.5
2023-08-11,54382011.39,54382011.39
2023-08-12,48850072.13,48850072.13
2023-08-13,50978858.19,50978858.19
2023-08-14,62199842.36,62199842.36
2023-08-15,68977909.16,68977909.16
2023-08-16,69941862.99,69941862.99
2023-08-17,65587056.7,65587056.7
2023-08-18,60619702.11,60619702.11
2023-08-19,53223551.21,53223551.21
2023-08-20,56439972.76,56439972.76
2023-08-21,66962362.1,66962362.1
2023-08-22,68108909.12,68108909.12
2023-08-23,69062817.22,69062817.22
2023-08-24,63933077.41,63933077.41
2023-08-25,57888321.16,57888321.16
2023-08-26,51946488.05,51946488.05
2023-08-27,51123781.97,51123781.97
2023-08-28,53610054.86,53610054.86
2023-08-29,52542399.04,52542399.04
2023-08-30,52448796.6,52448796.6
2023-08-31,52428811.18,52428811.18
2023-09-01,50492952.92,50492952.92
2023-09-02,47249713.56,47249713.56
2023-09-03,48441998.39,48441998.39
2023-09-04,52526734.54,52526734.54
2023-09-05,54984070.03,54984070.03
2023-09-06,54960835.99,54960835.99
2023-09-07,52263847.51,52263847.51
2023-09-08,49001236.86,49001236.86
2023-09-09,45684166.91,45684166.91
2023-09-10,48526582.88,48526582.88
2023-09-11,52623482.25,52623482.25
2023-09-12,52264842.85,52264842.85
2023-09-13,50156377.23,50156377.23
2023-09-14,45022768.88,45022768.88
2023-09-15,40479033.48,40479033.48
2023-09-16,38522435.53,38522435.53
2023-09-17,44915877.04,44915877.04
2023-09-18,49476956.42,49476956.42
2023-09-19,49875946.85,49875946.85
2023-09-20,47724026.43,47724026.43
2023-09-21,45017333.3,45017333.3
2023-09-22,44364582.06,44364582.06
2023-09-23,39037480.65,39037480.65
2023-09-24,40053962.8,40053962.8
2023-09-25,45584907.93,45584907.93
2023-09-26,46894318.93,46894318.93
2023-09-27,45970062.79,45970062.79
2023-09-28,46491283.39,46491283.39
2023-09-29,44087655.49,44087655.49
2023-09-30,42351311.65,42351311.65
2023-10-01,45553963.99,45553963.99
2023-10-02,51053214.89,51053214.89
2023-10-03,52134349.65,52134349.65
2023-10-04,50831443.02,50831443.02
2023-10-05,49056042.74,49056042.74
2023-10-06,47712079.13,47712079.13
2023-10-07,43542720.87,43542720.87
2023-10-08,47940926.85,47940926.85
2023-10-09,53578219.44,53578219.44
2023-10-10,55186366.31,55186366.31
2023-10-11,54920593.73,54920593.73
2023-10-12,52341578.89,52341578.89
2023-10-13,50138495.83,50138495.83
2023-10-14,46444655.19,46444655.19
2023-10-15,50706945.77,50706945.77
2023-10-16,60078473.52,60078473.52
2023-10-17,60503398.01,60503398.01
2023-10-18,57114639.48,57114639.48
2023-10-19,51729158.21,51729158.21
2023-10-20,46247380.47,46247380.47
2023-10-21,43339183.1,43339183.1
2023-10-22,46671612.47,46671612.47
2023-10-23,55447480.5,55447480.5
2023-10-24,53702254.77,53702254.77
2023-10-25,51333294.18,51333294.18
2023-10-26,47632637.7,47632637.7
2023-10-27,44031094.23,44031094.23
2023-10-28,39210645.1,39210645.1
2023-10-29,40671629.92,40671629.92
2023-10-30,49590624.68,49590624.68
2023-10-31,46100725.36,46100725.36
2023-11-01,48210227.54,48210227.54
2023-11-02,50736592.24,50736592.24
2023-11-03,48878647.08,48878647.08
2023-11-04,44686326.18,44686326.18
2023-11-05,48395432.24,48395432.24
2023-11-06,56342734.53,56342734.53
2023-11-07,58200635.09,58200635.09
