Date,TGMV
10/08/2023,59360731.50
11/08/2023,54382011.39
12/08/2023,48850072.13
13/08/2023,50978858.19
14/08/2023,62199842.36
15/08/2023,68977909.16
16/08/2023,69941862.99
17/08/2023,65587056.70
18/08/2023,60619702.11
19/08/2023,53223551.21
20/08/2023,56439972.76
21/08/2023,66962362.10
22/08/2023,68108909.12
23/08/2023,69062817.22
24/08/2023,63933077.41
25/08/2023,57888321.16
26/08/2023,51946488.05
27/08/2023,51123781.97
28/08/2023,53610054.86
29/08/2023,52542399.04
30/08/2023,52448796.60
31/08/2023,52428811.18
01/09/2023,50492952.92
02/09/2023,47249713.56
03/09/2023,48441998.39
04/09/2023,52526734.54
05/09/2023,54984070.03
06/09/2023,54960835.99
07/09/2023,52263847.51
08/09/2023,49001236.86
09/09/2023,45684166.91
10/09/2023,48526582.88
11/09/2023,52623482.25
12/09/2023,52264842.85
13/09/2023,50156377.23
14/09/2023,45022768.88
15/09/2023,40479033.48
16/09/2023,38522435.53
17/09/2023,44915877.04
18/09/2023,49476956.42
19/09/2023,49875946.85
20/09/2023,47724026.43
21/09/2023,45017333.30
22/09/2023,44364582.06
23/09/2023,39037480.65
24/09/2023,40053962.80
25/09/2023,45584907.93
26/09/2023,46894318.93
27/09/2023,45970062.79
28/09/2023,46491283.39
29/09/2023,44087655.49
30/09/2023,42351311.65
01/10/2023,45553963.99
02/10/2023,51053214.89
03/10/2023,52134349.65
04/10/2023,50831443.02
05/10/2023,49056042.74
06/10/2023,47712079.13
07/10/2023,43542720.87
08/10/2023,47940926.85
09/10/2023,53578219.44
10/10/2023,55186366.31
11/10/2023,54920593.73
12/10/2023,52341578.89
13/10/2023,50138495.83
14/10/2023,46444655.19
15/10/2023,50706945.77
16/10/2023,60078473.52
17/10/2023,60503398.01
18/10/2023,57114639.48
19/10/2023,51729158.21
20/10/2023,46247380.47
21/10/2023,43339183.10
22/10/2023,46671612.47
23/10/2023,55447480.50
24/10/2023,53702254.77
25/10/2023,51333294.18
26/10/2023,47632637.70
27/10/2023,44031094.23
28/10/2023,39210645.10
29/10/2023,40671629.92
30/10/2023,49590624.68
31/10/2023,46100725.36
01/11/2023,48210227.54
02/11/2023,50736592.24
03/11/2023,48878647.08
04/11/2023,44686326.18
05/11/2023,48395432.24
06/11/2023,56342734.53
07/11/2023,58200635.09
08/11/2023,56377722.69
09/11/2023,54801568.06
10/11/2023,51125080.73
11/11/2023,49453058.84
12/11/2023,55150495.36
13/11/2023,65423261.46
14/11/2023,67997046.92
15/11/2023,71492363.64
16/11/2023,88176708.08
17/11/2023,142404340.35
18/11/2023,120964860.75
19/11/2023,121595941.76
20/11/2023,150245763.43
21/11/2023,88875387.71
22/11/2023,66792882.53
23/11/2023,66107148.96
24/11/2023,78334102.10
25/11/2023,72148494.76
26/11/2023,75210506.06
27/11/2023,88635650.06
28/11/2023,74809250.87
29/11/2023,73437805.81
30/11/2023,72279946.84
01/12/2023,75948919.59
02/12/2023,67473133.16
03/12/2023,74368946.35
04/12/2023,90523754.42
05/12/2023,90092552.29
06/12/2023,95574477.95
07/12/2023,96842786.42
08/12/2023,91460119.12
09/12/2023,84904863.71
10/12/2023,92761754.67
11/12/2023,111510166.03
12/12/2023,112770497.60
13/12/2023,110350969.81
14/12/2023,114616654.00
15/12/2023,110865425.40
16/12/2023,114314914.96
17/12/2023,119422655.17
18/12/2023,143929211.48
19/12/2023,147292731.16
20/12/2023,129249521.72
21/12/2023,98444545.34
22/12/2023,74615237.91
23/12/2023,57006671.35
24/12/2023,45375509.66
25/12/2023,48524224.76
26/12/2023,75381434.71
27/12/2023,79682593.28
28/12/2023,72916895.76
29/12/2023,61085583.64
30/12/2023,46854570.43
31/12/2023,37353164.69
01/01/2024,35343404.93
02/01/2024,64473690.54
03/01/2024,69244185.61
04/01/2024,63672059.21
05/01/2024,57511449.32
06/01/2024,51262403.37
07/01/2024,52554582.02
08/01/2024,58072541.95
09/01/2024,57230179.02
10/01/2024,58529334.36
11/01/2024,58845294.13
12/01/2024,56107442.95
13/01/2024,51185001.39
14/01/2024,51204889.80
15/01/2024,61082065.13
16/01/2024,61226369.53
17/01/2024,61225353.44
18/01/2024,57226274.80
19/01/2024,51751630.17
20/01/2024,48110841.48
21/01/2024,50604471.72
22/01/2024,55952116.02
23/01/2024,55977545.86
24/01/2024,53929283.46
25/01/2024,51233125.51
26/01/2024,48434562.52
27/01/2024,45120366.59
28/01/2024,48452044.23
29/01/2024,55881733.42
30/01/2024,56744015.54
31/01/2024,58306146.94
01/02/2024,58312379.68
02/02/2024,52351541.89
03/02/2024,47827753.44
04/02/2024,47895928.18
05/02/2024,56794381.98
06/02/2024,59576819.31
07/02/2024,63392742.57
08/02/2024,63941615.53
09/02/2024,60552136.50
10/02/2024,55506188.60
11/02/2024,57768513.80
12/02/2024,70204150.41
13/02/2024,62630995.88
14/02/2024,51094145.29
15/02/2024,53301858.27
16/02/2024,51673831.83
17/02/2024,48957768.47
18/02/2024,50791600.21
19/02/2024,54484320.62
20/02/2024,52746811.77
21/02/2024,52266137.71
22/02/2024,49935777.02
23/02/2024,45169949.70
24/02/2024,43203696.17
25/02/2024,43511671.10
26/02/2024,50868793.43
27/02/2024,51031123.94
28/02/2024,52879388.66
29/02/2024,52184066.68
01/03/2024,50729361.05
02/03/2024,48446111.79
03/03/2024,49600612.78
04/03/2024,54344919.87
05/03/2024,55020658.58
06/03/2024,55220602.04
07/03/2024,53167020.36
08/03/2024,48379398.56
09/03/2024,44387740.89
10/03/2024,48023164.43
11/03/2024,53808465.35
12/03/2024,54658673.85
13/03/2024,54251895.78
14/03/2024,52049080.89
15/03/2024,50490997.74
16/03/2024,45794657.83
17/03/2024,45281551.97
18/03/2024,53639324.59
19/03/2024,55971679.11
20/03/2024,49834438.75
21/03/2024,48408392.18
22/03/2024,44360664.04
23/03/2024,42749291.84
24/03/2024,44684626.34
25/03/2024,49293871.21
26/03/2024,47290093.34
27/03/2024,48206092.97
28/03/2024,44985662.32
29/03/2024,39987658.28
30/03/2024,36667067.37
31/03/2024,37882870.07
01/04/2024,48225203.85
02/04/2024,49834209.00
03/04/2024,49482697.25
04/04/2024,47870916.30
05/04/2024,45347790.26
06/04/2024,42325713.78
07/04/2024,44265871.47
08/04/2024,48015571.40
09/04/2024,50055871.96
10/04/2024,50250417.76
11/04/2024,50931988.62
12/04/2024,48057679.90
13/04/2024,45484521.46
14/04/2024,47500166.78
15/04/2024,55746774.74
16/04/2024,60343256.80
17/04/2024,56588698.21
18/04/2024,53812121.29
19/04/2024,48589539.32
20/04/2024,43548325.98
21/04/2024,46531811.15
22/04/2024,55654017.41
23/04/2024,56398951.32
24/04/2024,54212466.05
25/04/2024,51307626.83
26/04/2024,47963611.49
27/04/2024,44057166.27
28/04/2024,46126852.52
29/04/2024,55391072.92
30/04/2024,52673821.74
01/05/2024,60391785.21
02/05/2024,59395037.73
03/05/2024,56288955.27
04/05/2024,51479060.41
05/05/2024,54873232.04
06/05/2024,74044155.82
07/05/2024,77119892.25
08/05/2024,74827601.56
09/05/2024,66622741.93
10/05/2024,54308754.66
11/05/2024,48126393.89
12/05/2024,48719253.54
13/05/2024,54866570.66
14/05/2024,70145640.73
15/05/2024,129516945.65
16/05/2024,106866913.63
17/05/2024,87659540.96
18/05/2024,78678431.79
19/05/2024,80967638.51
20/05/2024,82133507.71
21/05/2024,80802171.47
22/05/2024,80355295.18
23/05/2024,89829068.71
24/05/2024,61583048.52
25/05/2024,42355134.95
26/05/2024,43181755.31
27/05/2024,49002179.78
28/05/2024,53119396.07
29/05/2024,53029272.50
30/05/2024,53294699.65
31/05/2024,51038271.07
01/06/2024,47485530.71
02/06/2024,46176769.59
03/06/2024,54353252.63
04/06/2024,60366725.29
05/06/2024,60316730.03
06/06/2024,59932448.37
07/06/2024,55984170.74
08/06/2024,52184135.57
09/06/2024,56317218.61
10/06/2024,69260318.03
11/06/2024,73928946.24
12/06/2024,76009982.90
13/06/2024,74562446.33
14/06/2024,71281692.38
15/06/2024,60907683.91
16/06/2024,58763582.79
17/06/2024,61621822.82
18/06/2024,61267066.16
19/06/2024,59028123.23
20/06/2024,58500297.44
21/06/2024,54798925.36
22/06/2024,50404810.09
23/06/2024,53777117.00
24/06/2024,61229584.42
25/06/2024,57402409.30
26/06/2024,61671689.69
27/06/2024,58675786.37
28/06/2024,58106309.74
29/06/2024,58965195.84
30/06/2024,60707040.64
01/07/2024,71080051.88
02/07/2024,71440801.22
03/07/2024,66198485.73
04/07/2024,62576817.78
05/07/2024,57534208.68
06/07/2024,55085069.99
07/07/2024,60333968.88
08/07/2024,66105699.08
09/07/2024,65355106.03
10/07/2024,64822383.88
11/07/2024,62905373.51
12/07/2024,58939586.43
13/07/2024,53042422.73
14/07/2024,56123984.31
15/07/2024,73555212.46
16/07/2024,79176187.33
17/07/2024,77824864.03
18/07/2024,72987911.80
19/07/2024,64833498.87
20/07/2024,57756227.59
21/07/2024,64734436.65
22/07/2024,68011382.74
23/07/2024,65861416.89
24/07/2024,61912543.17
25/07/2024,56520820.72
26/07/2024,52766812.39
27/07/2024,47130663.99
28/07/2024,50267831.75
29/07/2024,59018931.21
30/07/2024,63596429.34
31/07/2024,65153470.29
01/08/2024,65041115.97
02/08/2024,59833742.36
03/08/2024,52855105.75
